uberon_id name
UBERON:0006674 inguinal_ring
UBERON:2000092 obsolete_axis
UBERON:2000093 obsolete_blastomere
UBERON:4000043 obsolete_precementoblast
UBERON:0022351 parietal_serous_membrane
UBERON:3000527 quadrate_process_of_palatoquadrate
UBERON:3000524 pterygoquadrate
UBERON:3000523 pterygoid_process_of_palatoquadrate
UBERON:3000873 pars_cylindriformis_ilei
UBERON:3000521 pterygoid
UBERON:0025236 obsolete_regional_part_of_cervical_spinal_cord_white_matter
UBERON:0006675 venous_valve
UBERON:0007316 deep_external_pudendal_artery
UBERON:0014931 periungual_skin
UBERON:0006672 incisive_canal
UBERON:0009581 midbrain_mantle_layer
UBERON:0009075 membrana_tympaniformis
UBERON:0028200 obsolete_regional_part_of_fovea
UBERON:0006673 mandibular_canal
UBERON:0028205 obsolete_regional_part_of_vestibular_ganglion
UBERON:0031948 obsolete_predominantly_gray_regional_part_of_ventral_posteromedial_nucleus
UBERON:0015110 distal_tarsal_bone_3_pre-cartilage_condensation
UBERON:0013148 early_midbrain_vesicle
UBERON:0013149 hindbrain_vesicle
UBERON:0013146 venous_system_of_brain
UBERON:0013147 early_mesencephalic_vesicle
UBERON:0013144 vein_of_genicular_venous_plexus
UBERON:0013145 accessory_saphenous_vein
UBERON:0013142 soleal_vein
UBERON:0007314 superior_external_pudendal_artery
UBERON:0013140 systemic_vein
UBERON:0013141 capillary_bed
UBERON:0006140 palmar_digital_vein
UBERON:0006141 palmar_digital_artery
UBERON:0006142 common_plantar_digital_vein
UBERON:0006143 proper_plantar_digital_vein
UBERON:0006144 medial_plantar_digital_vein
UBERON:0006145 dorsal_digital_artery_of_pes
UBERON:0006146 dorsal_digital_artery_of_manus
UBERON:0006495 osseus_cochlear_canal
UBERON:0017654 buccal_gland
UBERON:0006499 dorsal_pes_interosseous_muscle
UBERON:0017652 intermaxillary_gland_(sensu_Osteolepiformes)
UBERON:0017653 intermaxillary_salivary_gland
UBERON:0017650 developing_mesenchymal_structure
UBERON:0017651 salivary_gland_primordium
UBERON:0002391 lymph
UBERON:0002390 hematopoietic_system
UBERON:0002393 pharyngotympanic_tube
UBERON:0002392 nasolacrimal_duct
UBERON:0002395 talus
UBERON:0002394 bile_duct
UBERON:2000283 obsolete_sternohyoid
UBERON:2000499 dorsal_arrector
UBERON:0005440 ductus_arteriosus
UBERON:0006724 osseus_spiral_lamina
UBERON:0006725 spiral_ligament
UBERON:0006726 outer_canthus
UBERON:0006727 liver_left_lateral_lobe
UBERON:0006720 pterygoid_muscle
UBERON:0006721 alisphenoid_bone
UBERON:0006722 manubrium_of_malleus
UBERON:0006723 cochlear_modiolus
UBERON:0012059 right_lung_lower_lobe_bronchiole
UBERON:0009585 interdigital_region_mesenchyme
UBERON:0018228 extrahepatic_branch_of_portal_vein
UBERON:4300139 posterolingual_region
UBERON:0016928 metaphysis_of_fibula
UBERON:0005441 external_intercostal_muscle
UBERON:3000879 incisura_terminalis
UBERON:0008894 pharyngeal_gill_precursor
UBERON:0007220 late_embryonic_stage
UBERON:0008896 post-hyoid_pharyngeal_arch
UBERON:0008897 fin
UBERON:0008891 external_gill
UBERON:0008892 internal_gill
UBERON:0013538 Brodmann_(1909)_area_7
UBERON:0013535 Brodmann_(1909)_area_4
UBERON:0005442 abdominal_external_oblique_muscle
UBERON:0018554 primary_lateral_incisor_tooth
UBERON:0007221 neonate_stage
UBERON:2001960 ceratobranchial_4_bone_distal_cartilage
UBERON:0010172 bulb_of_aorta
UBERON:0005443 filum_terminale
UBERON:0026296 obsolete_predominantly_gray_regional_part_of_cingulate_gyrus
UBERON:0001995 fibrocartilage
UBERON:3001001 obsolete_lateral_line_receptor_organ
UBERON:0001990 middle_cervical_ganglion
UBERON:0005444 obsolete_first_polar_body
UBERON:2000589 sulcus_ypsiloniformis
UBERON:0004429 proximal_epiphysis_of_third_metatarsal_bone
UBERON:0004428 proximal_epiphysis_of_second_metatarsal_bone
UBERON:0010945 jugulohyoideus_muscle
UBERON:0010944 posterior_digastric_muscle
UBERON:0010943 anterior_digastric_muscle
UBERON:2001721 caudal_principal_ray_9
UBERON:0010940 muscle_of_digastric_group
UBERON:0004421 proximal_epiphysis_of_phalanx_of_manual_digit_5
UBERON:0004420 proximal_epiphysis_of_phalanx_of_manual_digit_4
UBERON:0004423 proximal_epiphysis_of_second_metacarpal_bone
UBERON:0004422 proximal_epiphysis_of_first_metacarpal_bone
UBERON:0004425 proximal_epiphysis_of_fourth_metacarpal_bone
UBERON:0004424 proximal_epiphysis_of_third_metacarpal_bone
UBERON:0004427 proximal_epiphysis_of_first_metatarsal_bone
UBERON:0004426 proximal_epiphysis_of_fifth_metacarpal_bone
UBERON:0002649 dorsolateral_fasciculus_of_medulla
UBERON:0002648 anterior_median_eminence
UBERON:0002139 subcommissural_organ
UBERON:0002138 habenulo-interpeduncular_tract
UBERON:0010861 propatagium
UBERON:0002135 mitral_valve
UBERON:0002134 tricuspid_valve
UBERON:0002137 aortic_valve
UBERON:0002136 hilus_of_dentate_gyrus
UBERON:0002131 anterior_lobe_of_cerebellum
UBERON:0002130 cerebellar_nuclear_complex
UBERON:0002133 atrioventricular_valve
UBERON:0002132 dentate_nucleus
UBERON:0003518 main_bronchus_blood_vessel
UBERON:0003519 thoracic_cavity_blood_vessel
UBERON:0010863 dactylopatagium_brevis
UBERON:0003510 eyelid_blood_vessel
UBERON:0003511 iris_blood_vessel
UBERON:0003512 lung_blood_vessel
UBERON:0003513 trunk_blood_vessel
UBERON:0003514 limb_blood_vessel
UBERON:0003515 forelimb_blood_vessel
UBERON:0003516 hindlimb_blood_vessel
UBERON:0003517 kidney_blood_vessel
UBERON:2001629 otic_sensory_canal
UBERON:0010866 dactylopatagium_major
UBERON:0018684 sacral_splanchnic_nerve
UBERON:2001622 odontode
UBERON:0005446 foramen_rotundum
UBERON:2001620 lagenar_capsule
UBERON:0010867 plagiopatagium
UBERON:2001626 premaxillary_tooth
UBERON:2001624 type_2_odontode
UBERON:0004393 epiphysis_of_third_metacarpal_bone
UBERON:0004392 epiphysis_of_second_metacarpal_bone
UBERON:0004391 epiphysis_of_first_metacarpal_bone
UBERON:0004390 epiphysis_of_metacarpal_bone
UBERON:0004397 epiphysis_of_third_metatarsal_bone
