genes	predicted_functions
daam1b	uberon_0000033:5.92321743655,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
daam1a	uberon_0000033:4.00182291762,uberon_0009124:0.00177992498888,uberon_0001944:0.00177992498888
tfap2a	uberon_0000033:0.245496023416,uberon_0009124:0.00203419998729,uberon_0001944:0.00203419998729
myo7aa	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
esrrgb	uberon_0000033:0.0382048185112,uberon_0009124:0.000127137499205,uberon_0001944:0.000127137499205
esrrga	uberon_0001944:120.9065743,uberon_0000033:2.65668820496,uberon_0009124:0.00813679994915
b3gat3	uberon_0000033:5.93832893767,uberon_0009124:0.00139851249126,uberon_0001944:0.00139851249126
prdm16	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
ccnb1	uberon_0000033:84.326819887,uberon_0009124:0.024156124849,uberon_0001944:0.024156124849
polr2d	uberon_0000033:28.080672838,uberon_0009124:0.0301315873117,uberon_0001944:0.0301315873117
dpm3	uberon_0000033:0.0719292070105,uberon_0009124:0.00254274998411,uberon_0001944:0.00254274998411
dmrt2a	uberon_0000033:4.68588085801,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
rpl14	uberon_0000033:153.391538451,uberon_0009124:0.0255546373403,uberon_0001944:0.0255546373403
rpl10	uberon_0000033:152.939237749,uberon_0009124:0.0320386497998,uberon_0001944:0.0320386497998
pcdh15a	uberon_0000033:0.191341936304,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
rpl12	uberon_0000033:144.312483341,uberon_0009124:0.0310215498061,uberon_0001944:0.0310215498061
rpl13	uberon_0000033:161.703686595,uberon_0009124:0.0287330748204,uberon_0001944:0.0287330748204
nr1d1	uberon_0001944:79.9444968666,uberon_0000033:3.01158009952,uberon_0009124:0.0122051999237
neurog1	uberon_0000033:0.91844129426,uberon_0009124:0.00305129998093,uberon_0001944:0.00305129998093
