function	number_of_genes	ROC_auc	PR_auc
uberon_0001283	4	0.483857264	0.000848176
uberon_0002722	2	0.493635978	0.000212044
uberon_0004160	2	0.494482173	0.000424088
uberon_2001364	2	0.494269949	0.000424088
uberon_2001125	2	0.499151464	0.000212044
uberon_2000813	1	0.485574883	0.000212044
uberon_0002616	143	0.616862173	0.087387331
uberon_0003122	3	0.475583864	0.000636132
uberon_0003123	1	0.499151464	0.000212044
uberon_0000991	6	0.499363598	0.000212044
uberon_2000691	2	0.498302207	0.000424088
uberon_0002110	12	0.72689523	0.06415017
uberon_0003053	5	0.667700807	0.009863524
uberon_0007414	4	0.824557679	0.057132231
uberon_0003051	91	0.63270619	0.090054647
uberon_0003056	6	0.728528912	0.024317365
uberon_0003055	1	0	0
uberon_0002291	27	0.721582836	0.068261372
uberon_0003059	7	0.492984694	0.001272265
uberon_0014649	8	0.493630573	0.000636132
uberon_2001504	2	0.497242257	0.000212044
uberon_0007390	9	0.476382979	0.001696353
uberon_0001135	5	0.883085423	0.04626583
uberon_0001133	17	0.62231813	0.0184985
uberon_0004741	13	0.700465331	0.022009171
uberon_0001130	9	0.615930851	0.043422975
uberon_2001508	9	0.627149541	0.07135189
uberon_2000766	1	0.499363598	0.000212044
uberon_0002042	1	0	0
uberon_0007098	1	0	0
uberon_2000001	72	0.667559968	0.096564909
uberon_2000006	30	0.762386199	0.114908434
uberon_2000168	8	0.461293067	0.001484309
uberon_2000004	3	0.49893933	0.000212044
uberon_2000164	3	0.493842887	0.000636132
uberon_0000949	2	0.996179966	0.050212044
uberon_0007097	1	0.467967756	0.000212044
uberon_0001789	34	0.607839347	0.047129457
uberon_0007308	3	0.446496815	0.000636132
uberon_0002200	57	0.627071793	0.034909824
uberon_0002201	29	0.618015082	0.031051167
uberon_0002203	13	0.634593182	0.101029695
uberon_0007302	1	0.497242257	0.000212044
uberon_0007303	8	0.482142857	0.001272265
uberon_0007301	1	0	0
uberon_0007306	8	0.489379779	0.000848176
uberon_0007307	6	0.497878659	0.000212044
uberon_0007304	2	0.495545185	0.000212044
uberon_0005068	4	0.485350318	0.000636132
uberon_2001145	2	0.486629881	0.000424088
uberon_2001140	1	0.498515062	0.000212044
uberon_2001069	40	0.657280809	0.177416214
uberon_0007135	13	0.662478705	0.016935862
uberon_0007134	17	0.656099034	0.01693693
uberon_0004866	2	0.498302207	0.000424088
uberon_0004119	514	0.557303929	0.129041335
uberon_2001063	1	0.5	0.000212044
uberon_0007132	4	0.490874363	0.000424088
uberon_0004117	13	0.616588586	0.023227944
uberon_0003906	7	0.615482773	0.012497989
uberon_0003901	23	0.629243168	0.065578662
uberon_0003902	32	0.567843713	0.016683457
uberon_2001593	5	0.82965322	0.09650834
uberon_2000715	4	0.492993631	0.000636132
uberon_2000711	7	0.679175521	0.023010929
uberon_2001089	34	0.577788956	0.050988228
uberon_0005291	89	0.571099446	0.042183636
uberon_0006925	26	0.643529605	0.019090671
uberon_0002050	38	0.671508292	0.082411744
uberon_0003080	1	0.49427238	0.000212044
uberon_0001555	288	0.746611054	0.326432884
uberon_0006215	1	0	0
uberon_0001804	2	0.497030123	0.000212044
uberon_0008823	805	0.624155073	0.278690734
uberon_0011164	1	0	0
uberon_0000491	351	0.691952167	0.296729049
uberon_0000490	2	0.496179966	0.000424088
uberon_0006600	1	0.493635978	0.000212044
uberon_2001396	1	0.49893933	0.000212044
uberon_0007679	20	0.581101614	0.027309436
uberon_2000476	12	0.477475563	0.001060221
uberon_0007635	30	0.691202665	0.050774816
uberon_2000633	6	0.689885253	0.032078139
uberon_2000674	1	0.486847688	0.000212044
uberon_0000397	1	0.497242257	0.000212044
uberon_2001142	1	0.496393721	0.000212044
