zfin_id	gene_name	ensemble_id	uberon_annotations
zdb-gene-070117-339	unm_tj214	not_found	uberon_0000477,uberon_0004119,uberon_0000480,uberon_0005886,uberon_0008895,uberon_0003107,uberon_0003103
zdb-gene-070117-337	unm_tm70d	not_found	uberon_0002328,uberon_0005598,uberon_0012275
zdb-gene-070117-336	unm_m589	not_found	uberon_0000061
zdb-gene-070117-335	unm_m198	not_found	uberon_0000477,uberon_0000463,uberon_0002280,uberon_0000480,uberon_0001032,uberon_0001846
zdb-gene-070117-334	unm_m690	not_found	uberon_0000477,uberon_0000463,uberon_0002280,uberon_0000480,uberon_0001032,uberon_0001846
zdb-gene-070117-621	unm_m219	not_found	uberon_0000477,uberon_0000463,uberon_0002280,uberon_0000480,uberon_0001032,uberon_0001846
zdb-gene-070117-332	unm_tj20c	not_found	uberon_0008823,uberon_0000019,uberon_0001890,uberon_0000480,uberon_0000468,uberon_0001945,uberon_0000033,uberon_0001016,uberon_0001017
zdb-gene-070117-331	unm_to2a	not_found	uberon_0010313,uberon_0002328,uberon_0012275,uberon_0000468,uberon_0005598
zdb-gene-070117-622	unm_m737	not_found	uberon_0007812,uberon_0000468
zdb-gene-030131-6778	rtf1	ensdarg00000008947	uberon_0000477,uberon_0000489,uberon_0000479,uberon_0000480,uberon_0000468,uberon_0015178,uberon_0000948,uberon_0006984,uberon_0010313,uberon_0001846
zdb-gene-040426-2092	pdlim7	ensdarg00000105357	uberon_0002407,uberon_0002328,uberon_0004479,uberon_0004530,uberon_0004741,uberon_0000489,uberon_0007844,uberon_2001456,uberon_0013703,uberon_0000151,uberon_0002133,uberon_0001774,uberon_0004753,uberon_0000467,uberon_0005598,uberon_0000480,uberon_0000468,uberon_0002514,uberon_0000948,uberon_0007812,uberon_0002087,uberon_0005729,uberon_0000042,uberon_0004376,uberon_0004375,uberon_0004141,uberon_0003102
zdb-gene-090601-6	syt7b	ensdarg00000078060	uberon_0000480
zdb-gene-020419-35	mak16	ensdarg00000003527	uberon_0001555,uberon_0002407,uberon_0000935,uberon_0000491,uberon_0000479,uberon_2000084,uberon_2000106,uberon_0001016,uberon_0001017,uberon_0003931,uberon_0000019,uberon_0003936,uberon_0002616,uberon_0000033,uberon_0002107,uberon_0002437,uberon_2000597,uberon_0002240,uberon_0000480,uberon_0000468,uberon_0000941,uberon_0000042,uberon_0003439,uberon_0001785,uberon_0002100,uberon_0005057
zdb-gene-111129-3	mustn1a	ensdarg00000054026	uberon_0005281,uberon_0000480,uberon_0002280,uberon_0000463
zdb-gene-020419-32	hdac1	ensdarg00000015427	uberon_0001708,uberon_0001555,uberon_0003714,uberon_0000491,uberon_0014764,uberon_2000084,uberon_0002328,uberon_0007635,uberon_0001016,uberon_0002407,uberon_0000078,uberon_0003933,uberon_0012275,uberon_0000019,uberon_0000017,uberon_0000463,uberon_0004362,uberon_0005412,uberon_0000033,uberon_0003338,uberon_0002107,uberon_0003066,uberon_0002100,uberon_0005598,uberon_0002028,uberon_0007134,uberon_0000948,uberon_0001264,uberon_0000480,uberon_0005886,uberon_0000468,uberon_0008896,uberon_0000965,uberon_0000151,uberon_2001463,uberon_0003011,uberon_0002081,uberon_0000044,uberon_0000042,uberon_0000966,uberon_0002280,uberon_0006860,uberon_0005057,uberon_0008823,uberon_4000164
zdb-gene-090211-8	psm8	not_found	uberon_0000468,uberon_0010314,uberon_0000033,uberon_0002100
zdb-gene-090211-9	psm9	not_found	uberon_0000468,uberon_0010314,uberon_0000033,uberon_0002100
zdb-gene-081107-17	mmp17b	ensdarg00000102956	uberon_0000044,uberon_0000467,uberon_0003714,uberon_0007134,uberon_0004120,uberon_0000480,uberon_0003338,uberon_0007812,uberon_4000167,uberon_0002090,uberon_0001434
zdb-gene-090211-4	psm2	not_found	uberon_0000033,uberon_0010314,uberon_0000468,uberon_0002100
